ward_id,ward_name,percent_uneducated,unemployment_rate,income,percent_voted
1,Etobicoke North,18.997567755385685,16.5,95200,24
2,Etobicoke Centre,11.053754266211605,12.8,146600,30
3,Etobicoke-Lakeshore,9.269582618639223,11.8,127200,33
4,Parkdale-High Park,9.072243709115217,12.9,127200,38
5,York South-Weston,21.75059433758375,16.4,88700,28.000000000000004
6,York Centre,13.692888081598435,14.1,107500,25
7,Humber River-Black Creek,23.08003597122302,17.8,85700,22
8,Eglinton-Lawrence,10.4903326946525,12.2,176400,32
9,Davenport,18.012985772939942,13.1,107300,31
10,Spadina-Fort York,4.8412112259970455,9.8,118200,24
11,University-Rosedale,7.076231869902817,12.8,174800,32
12,Toronto-St. Paul's,7.213287172969894,10.9,160400,34
13,Toronto Centre,7.123920294193107,15.1,89400,28.999999999999996
14,Toronto-Danforth,11.950647984314475,12.5,130800,36
15,Don Valley West,8.052462261816382,12.1,224800,33
16,Don Valley East,12.370806169502305,15.1,100300,31
17,Don Valley North,8.499866773248069,14.4,103800,27
18,Willowdale,6.714761376248612,12.7,106300,28.999999999999996
19,Beaches-East York,10.548387096774194,13.4,130600,36
20,Scarborough Southwest,14.060584041055451,16.4,102200,32
21,Scarborough Centre,15.063642882753674,15.7,91500,26
22,Scarborough-Agincourt,16.197318931430225,16.4,93000,26
23,Scarborough North,18.670566338739697,17,100000,25
24,Scarborough-Guildwood,14.378862342465087,16.3,92700,27
25,Scarborough-Rouge Park,12.637335566832537,15,121800,27
