ward_id,population,percent_uneducated,unemployment_rate,income
1,115120,18.997567755385685,16.5,95200
2,117200,11.053754266211605,12.8,146600
3,139920,9.269582618639223,11.8,127200
4,104715,9.072243709115217,12.9,127200
5,115675,21.75059433758375,16.4,88700
6,107355,13.692888081598435,14.1,107500
7,111200,23.08003597122302,17.8,85700
8,114820,10.4903326946525,12.2,176400
9,104730,18.012985772939942,13.1,107300
10,135400,4.8412112259970455,9.8,118200
11,102385,7.076231869902817,12.8,174800
12,114095,7.213287172969894,10.9,160400
13,116930,7.123920294193107,15.1,89400
14,104555,11.950647984314475,12.5,130800
15,101025,8.052462261816382,12.1,224800
16,94335,12.370806169502305,15.1,100300
17,112590,8.499866773248069,14.4,103800
18,117130,6.714761376248612,12.7,106300
19,108500,10.548387096774194,13.4,130600
20,110095,14.060584041055451,16.4,102200
21,111560,15.063642882753674,15.7,91500
22,103690,16.197318931430225,16.4,93000
23,94025,18.670566338739697,17,100000
24,102755,14.378862342465087,16.3,92700
25,101485,12.637335566832537,15,121800
