Ward,Sub,Building Name,Building Address,Total Electors,Additions to the Voters List,Deletions to the Voters List,Corrections to the Voters List,School Board - Public,School Board - Catholic,School Board - French Public,School Board - French Catholic,School Board - Non Resident,Total Eligible Electors,Number Voted,% Voted,Rejected Ballots,Declined Ballots
1,1,Msgr. John Corrigan School,100 Royalcrest Road,1558,17,20,7,1157,344,2,3,61,1567,275,0.18,0,0
1,2,John D. Parker Junior School,202 Mount Olive Drive,1633,20,6,2,1203,448,5,0,0,1656,355,0.21,7,0
1,3,St. Angela Catholic School,220 Mount Olive Drive,1252,17,5,1,919,340,3,1,3,1266,232,0.18,0,0
1,5,North Kipling Community Centre,2 Rowntree Road,2653,24,31,9,2254,402,6,7,0,2669,284,0.11,0,0
1,6,Smithfield Middle School,175 Mount Olive Drive,1843,15,25,3,1313,509,4,4,7,1837,268,0.15,1,0
1,7,Claireville Junior School,350 Silverstone Drive,1865,19,23,5,1458,393,7,1,10,1869,326,0.17,0,0
1,8,Platinum on the Humber III,1 Rowntree Road,345,2,5,0,311,32,0,1,0,344,75,0.22,0,0
1,9,Platinum on the Humber II,3 Rowntree Road,438,10,5,1,364,79,0,0,0,443,99,0.23,0,1
1,10,Platinum on the Humber I,5 Rowntree Road,439,6,9,0,368,73,0,0,0,441,69,0.16,0,0
1,11,St. Andrew Catholic School,2533 Kipling Avenue,1984,48,36,3,1363,640,1,6,3,2013,214,0.11,2,0
1,12,Highfield Junior School,85 Mount Olive Drive,2651,31,53,6,2092,558,0,2,4,2656,275,0.1,1,0
1,13,Melody Village Junior Public School,520 Silverstone Drive,1565,21,12,2,1246,324,3,0,12,1585,286,0.18,0,1
1,14,Beaumonde Heights Jr. Middle School,70 Monterrey Drive,1612,21,17,14,1151,460,3,6,3,1623,358,0.22,2,0
1,15,Thistletown Lutheran Lodge,2715 Islington Avenue,768,4,14,5,501,239,5,0,17,762,137,0.18,0,0
1,16,Rowntree Manor,2765 Islington Avenue,386,10,2,2,284,108,1,1,0,394,91,0.23,0,0
1,17,St. John Vianney Catholic School,105 Thistle Down Boulevard,1615,33,9,19,858,760,5,15,2,1640,433,0.26,3,0
1,18,Thistletown Community Centre,925 Albion Road,842,22,5,5,497,345,4,9,6,861,272,0.32,0,0
1,19,Revera West Side,1145 Albion Road,61,22,45,0,29,9,0,0,0,38,28,0.74,0,0
1,21,Greenholme Junior Middle School,10 Jamestown Crescent,2654,38,79,8,2014,599,2,5,2,2622,338,0.13,2,0
1,22,Elmbank Junior Middle Academy,10 Pittsboro Drive,1833,33,18,2,1463,377,4,9,7,1860,250,0.13,0,0
1,23,St. Dorothy Catholic School,155 John Garland Blvd.,799,11,8,4,578,223,0,1,0,802,168,0.21,0,0
1,24,Albion Heights Public School,45 Lynmont Road,1585,13,31,3,1165,390,2,5,10,1572,342,0.22,1,0
1,25,Antonio Mazzota Seniors Building,88 Humber College Blvd.,135,4,6,1,116,17,0,0,0,133,58,0.44,4,0
1,26,Humber Valley Terrace by Revera,95 Humber College Blvd.,113,14,0,1,123,4,0,0,0,127,21,0.17,0,0
1,27,Humber College LRC,205 Humber College Blvd.,2207,32,76,7,1813,337,2,0,14,2166,207,0.1,0,0
1,28,King's Terrace,6 Humberline Drive,239,2,6,0,205,30,0,0,0,235,51,0.22,0,0
1,29,Humberline Place,10 Humberline Drive,297,7,2,0,199,103,0,0,0,302,57,0.19,0,0
1,30,Forest Manor,20 Humberline Drive,373,10,5,2,289,89,0,0,0,378,59,0.16,0,0
1,31,Deerwood Creek Care Community,70 Humberline Drive,37,4,0,0,37,3,0,1,0,41,9,0.22,1,0
1,32,Humberwood Community Centre,850 Humberwood Blvd.,3039,24,6,3,2746,332,7,0,3,3088,433,0.14,0,0
1,33,Mansions of Humberwood,710 Humberwood Blvd.,1099,29,6,5,1007,114,1,1,0,1123,197,0.18,0,0
1,34,Ascot Co-Operative Community Centre,920 Queen's Plate Drive,1612,20,21,2,1145,457,5,1,5,1613,185,0.11,0,0
1,35,Martin Grove United Church,75 Pergola Road,1613,22,2,10,962,638,4,4,27,1635,444,0.27,0,0
1,36,West Humber Junior Middle School,15 Delsing Drive,1587,15,12,9,1119,468,2,4,0,1593,381,0.24,0,0
1,37,Msgr. Percy Johnson Catholic School,2170 Kipling Avenue,1599,14,42,4,1115,423,1,3,28,1570,247,0.16,0,0
1,38,Kipling Acres,2233 Kipling Avenue,102,23,0,0,117,8,0,0,0,125,37,0.3,1,0
1,39,West Acres Seniors Centre,65 Hinton Road,835,6,3,7,581,255,2,1,0,839,159,0.19,0,0
1,40,Rivercrest Junior Public School,30 Harefield Drive,1773,37,15,8,1171,611,8,3,4,1797,435,0.24,0,0
1,41,Thistletown Collegiate Institute,20 Fordwich Crescent,1007,14,11,2,697,312,3,0,0,1012,205,0.2,0,0
1,42,Braeburn Junior School,15 Tandridge Crescent,1448,30,13,1,1027,439,5,3,0,1474,184,0.12,0,0
1,47,The Elms Junior Middle School,45 Golfdown Drive,2478,25,55,6,1674,766,9,1,2,2452,387,0.16,0,1
1,48,LINC,30 Barrhead Crescent,2005,15,11,4,1270,722,4,3,10,2009,395,0.2,0,0
1,49,Rexdale Presbyterian Church,2314 Islington Avenue,1759,31,66,6,1242,464,4,1,12,1723,255,0.15,0,0
1,51,Elmlea Junior School,50 Hadrian Drive,2025,27,30,8,1321,686,6,4,3,2020,482,0.24,0,3
1,52,School of Experiential Education,40 McArthur Street,2736,30,48,10,1876,823,5,11,3,2718,487,0.18,0,0
1,53,Dante Alighieri Academy,2 St. Andrews Blvd.,1129,21,7,1,568,570,2,2,0,1142,291,0.26,3,2
1,54,St. Maurice Catholic School,45 Kingsview Blvd.,2363,32,34,7,1714,632,15,1,0,2362,373,0.16,0,0
1,55,Kingsview Village Junior School,1 York Road,2000,68,26,35,1903,164,12,1,0,2080,313,0.15,0,1
1,56,Islington 2000,2000 Islington Avenue,447,12,4,11,356,97,0,2,0,455,214,0.47,0,0
1,57,Parkfield Junior School,31 Redgrave Drive,2421,22,22,7,1556,854,3,13,0,2426,585,0.24,1,0
1,59,Richgrove Village,620 Martin Grove Road,690,16,16,4,567,123,1,0,0,691,184,0.27,0,0
1,60,Willowridge Towers,22 Willowridge Road,936,21,11,4,696,248,3,1,0,948,159,0.17,2,0
1,97,Mail in Voting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,313,NA,0,0
1,98,Humberwood Community Centre,850 Humberwood Blvd,NA,90,24,71,NA,NA,NA,NA,NA,NA,1485,NA,10,0
1,99,North Kipling Community Centre,2 Rowntree Road,NA,222,26,51,NA,NA,NA,NA,NA,NA,2495,NA,2,3
1 Total,NA,NA,NA,70485,1376,1064,388,51800,18441,161,137,258,70797,16962,0.24,43,12
2,1,Transfiguration Catholic School,55 Ludstone Drive,1073,6,4,5,511,560,3,2,1,1077,277,0.26,0,0
2,2,Kipling Collegiate Institute,380 The Westway,1955,19,33,8,1291,641,2,7,3,1944,331,0.17,1,0
2,3,Dixon Grove Junior Middle School,315 The Westway,1286,32,14,13,549,745,4,10,0,1308,298,0.23,0,0
2,4,Westway United Church,8 Templar Drive,1686,11,41,9,1127,513,5,7,7,1659,248,0.15,0,0
2,6,Westway Junior School,25 Poynter Drive,1832,21,46,5,1154,642,6,4,0,1806,363,0.2,1,1
2,7,Valleyfield Junior School,35 Saskatoon Drive,1891,13,17,5,996,880,6,5,5,1892,382,0.2,0,0
2,8,St. Andrew's Presbyterian Church,1579 Royal York Road,1423,17,6,15,814,612,4,3,1,1434,304,0.21,0,0
2,9,Humber Heights Long Term Care,2245 Lawrence Avenue West,67,30,1,0,95,1,0,0,0,96,73,0.76,4,0
2,10,Westmount Junior School,95 Chapman Road,2142,16,22,15,1117,993,5,15,6,2136,385,0.18,0,2
2,11,Humber Hill Tower,15 La Rose Avenue,474,9,8,5,326,149,0,0,0,475,139,0.29,0,0
2,12,Richview Terrace,1 Richview Road,506,13,16,2,382,117,2,2,0,503,111,0.22,0,0
2,13,Top of the Humber,61 Richview Road,406,8,1,2,272,139,0,2,0,413,128,0.31,0,0
2,14,Ukrainian Canadian Care Centre,60 Richview Road,86,22,0,1,84,24,0,0,0,108,24,0.23,0,1
2,15,St. Demetrius Catholic School,125 La Rose Avenue,2813,32,65,11,1862,882,8,23,4,2779,451,0.16,1,0
2,16,St. Demetrius Residence,123 La Rose Avenue,274,19,40,13,153,98,0,2,0,253,121,0.48,1,0
2,17,Humbervale Place,1447 Royal York Road,136,4,9,4,121,10,0,0,0,131,58,0.44,0,0
2,18,Capstone Community Bible Church,1483 Royal York Road,1124,17,7,14,464,667,1,0,1,1133,277,0.24,0,0
2,19,Hilltop Middle School,35 Trehorne Drive,1734,13,26,20,690,1011,2,4,14,1721,405,0.24,1,0
2,20,Father Serra Catholic School,111 Sun Row Drive,1044,10,6,1,425,616,0,4,0,1045,261,0.25,1,0
2,21,Richview Public Library,1806 Islington Avenue,2028,31,26,19,1209,838,1,3,2,2053,377,0.18,5,0
2,22,Richview Seniors Residence,1540 Kipling Avenue,155,7,5,0,136,22,0,0,0,158,61,0.39,0,0
2,23,Richview Seniors Residence,105 Clement Road,243,6,8,7,197,42,1,1,0,241,110,0.46,0,0
2,25,St. Marcellus Catholic School,15 Denfield St,2991,23,98,17,2197,697,3,13,3,2913,492,0.17,0,0
2,28,Delmanor Prince Edward,4180 Dundas Street West,79,17,10,0,71,14,1,0,0,86,58,0.67,0,0
2,29,Briarcrest Junior Public School,60 Wellesworth Drive,2303,20,22,15,1605,687,3,4,0,2299,497,0.22,0,0
2,30,Martingrove Collegiate Institute,50 Winterton Drive,2284,22,35,0,1709,542,3,10,2,2266,522,0.23,2,1
2,31,John G. Althouse Middle School,130 Lloyd Manor Road,2099,21,13,11,1392,704,3,6,0,2105,593,0.28,2,0
2,32,St. George's Junior School,70 Princess Anne Crescent,1913,21,25,7,1408,489,1,12,0,1910,506,0.26,4,0
2,33,Richview Collegiate Institute,1738 Islington Avenue,1506,8,7,15,948,543,0,12,1,1504,281,0.19,0,0
2,34,Holy Angels Catholic School,100 Allanhurst Drive,2856,24,42,19,1521,1290,11,14,4,2840,611,0.22,0,0
